,store_name,address,taste_score,quantity_score,delivery_score,review,review_time
163,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있어요 ~ 연어/육회/스테이크(구운 육회) 모두 맛있어요 ! 다 먹을때쯤은 살짝 느끼해서 다음에는 고추장소스 같은 거랑 같이 시켜보려구요 ! 잘먹었습니다 ~,2024년 2월 19일
164,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛도 좋고 양도 많아요! 늦은시간에 시켰는데 신선하구요! 예상시간보다도 훨 빨리갖다주심.. 잘먹었습니다!!,2024년 2월 19일
165,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있게 잘먹었습니다.,2024년 2월 19일
166,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,생각날때 한번씩 먹는데 맛있고 양도 많아요!!,2024년 2월 19일
167,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있어요 잘먹고있어요,2024년 2월 19일
168,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,"항상 맛있게먹어요 사장님
비법이 뭘까요?",2024년 2월 19일
169,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,항상 맛있는데 이번 구운육회초밥은 많이 짜서 조금 아쉬웠습니다ㅜㅜ,2024년 2월 19일
170,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,"너무 맛있어요~~
다음에도 여기서 시켜요",2024년 2월 18일
171,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,너무 맛있게 잘 먹었습니다!,2024년 2월 18일
172,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,양도 많고 맛있게 잘먹었습니다,2024년 2월 18일
173,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,"언제 시켜먹어도 존맛입니다❤️
사장님 항상 신경써서 포장해주셔서 너무 감사합니다~~~👍👍👍",2024년 2월 18일
174,육회바른연어-화양점,서울특별시 광진구 화양동 18-24 1층,5,5,5,맛있게 잘먹었어요 😃,2024년 2월 18일
